basin,month,day,min_rain,max_rain,perc10,perc25,perc75,perc90,median_rain
Frio-Dry Frio,1,11,0,2.0177798096823705,4.584092007261074e-5,0.0033934606287157696,0.5794624128551108,0.8871607064994032,0.04272957791292539
Frio-Dry Frio,1,12,0,2.0179091634331545,1.741483362681652e-4,0.007595194763012573,0.5794624128551108,0.8871607064994032,0.10581645374675216
Frio-Dry Frio,1,13,0,2.0179091634331545,0.0013495917188212666,0.017193130777599,0.5794624128551108,0.8907377235930422,0.11426497165818181
Frio-Dry Frio,1,14,0,2.0179091634331545,0.0016987316633396681,0.023962204001272712,0.5794624128551108,0.8908481808164388,0.12465048526264025
Frio-Dry Frio,1,15,0,2.0179091634331545,0.004569671790880073,0.0330902700813592,0.5935001182891042,0.9513221485514032,0.2742424279425074
Frio-Dry Frio,1,16,0,2.0179091634331545,0.004569671790880073,0.04353252115676172,0.8818248382708727,1.1471114743046407,0.33074571660406454
Frio-Dry Frio,1,17,0.00326499186874303,2.0179091634331545,0.007731125844782204,0.07631652456440358,0.9041514163937924,1.3666861090854323,0.4505400076888834
Frio-Dry Frio,1,18,0.00326499186874303,2.0179091634331545,0.008348522120119597,0.07631652456440358,0.9041514163937924,1.6537691375211336,0.4505400076888834
Frio-Dry Frio,1,19,0.00326499186874303,2.0179091634331545,0.008348522120119597,0.07799597544803542,0.9041514163937924,1.6538837168003906,0.4505400076888834
Frio-Dry Frio,1,20,0.00326499186874303,2.0179091634331545,0.008348522120119597,0.07836258928654954,0.9041514163937924,1.669062319086749,0.4505400076888834
Frio-Dry Frio,1,21,0.00326499186874303,2.0179091634331545,0.008348522120119597,0.07852577287575163,0.9041514163937924,1.7836556482703423,0.4505400076888834
Frio-Dry Frio,1,22,0.00326499186874303,2.0179091634331545,0.01788501759686451,0.08082034410566874,1.122586453215852,1.7967532167042761,0.4505400076888834
Frio-Dry Frio,1,23,0.00326499186874303,2.1023154719480153,0.01950936974106433,0.08338866000373849,1.2580287704131146,1.9791290356891977,0.4505400076888834
Frio-Dry Frio,1,24,0.0032894037906062816,2.2545768469667684,0.04107893298179518,0.12328258491895333,1.2580287704131146,1.980916983185926,0.4505400076888834
Frio-Dry Frio,1,25,0.0040156681322422475,2.2545768469667684,0.04107893298179518,0.12328258491895333,1.6315956676358603,1.9998715155904625,0.8159186346136162
Frio-Dry Frio,1,26,0.0040156681322422475,2.2545768469667684,0.04155300399400501,0.12780760457703147,1.631669479572647,1.9998715155904625,0.8159186346136162
Frio-Dry Frio,1,27,0.0040156681322422475,2.2545768469667684,0.04155300399400501,0.21047439096516807,1.631669479572647,1.9998715155904625,0.8159186346136162
Frio-Dry Frio,1,28,0.0040156681322422475,2.5151855089398834,0.05768233751225829,0.25820670680819086,1.6627474818425358,1.9998715155904625,0.9030995536674585
Frio-Dry Frio,1,29,0.0040156681322422475,2.5151855089398834,0.0660020063906223,0.25820670680819086,1.7601686261196372,2.1374629682153325,0.9628071197676079
Frio-Dry Frio,1,30,0.0040156681322422475,2.5151855089398834,0.0660020063906223,0.25820670680819086,1.7601686261196372,2.1697378356484007,0.9628071197676079
Frio-Dry Frio,1,31,0.035241681618247804,2.5151855089398834,0.11015407071296213,0.25820670680819086,1.7643695547818359,2.1697378356484007,0.9628071197676079
Frio-Dry Frio,2,1,0.035241681618247804,2.598754074035365,0.12072043519115698,0.25820670680819086,1.7643695547818359,2.169857923627748,0.9778804204556422
Frio-Dry Frio,2,2,0.035241681618247804,2.598754074035365,0.12072043519115698,0.25820670680819086,1.8229425945701867,2.169857923627748,0.9778804204556422
Frio-Dry Frio,2,3,0.035241681618247804,2.642581749659606,0.15154705918196823,0.3656353467691452,1.8229425945701867,2.415756896855738,1.011893472045709
Frio-Dry Frio,2,4,0.03524665536458099,3.521947684911551,0.1584980929664123,0.3656353467691452,1.8229425945701867,2.4255028085927033,1.0289243304414035
Frio-Dry Frio,2,5,0.035517252942336805,3.5737539884766805,0.16347900415084166,0.36710569341822596,1.8229425945701867,2.426434841426982,1.1055715982831227
Frio-Dry Frio,2,6,0.035517252942336805,3.5737539884766805,0.2162954261430089,0.3794955969913867,1.8779576469872619,2.4716607155324164,1.1055715982831227
Frio-Dry Frio,2,7,0.035517252942336805,3.5737539884766805,0.2162954261430089,0.38803006165443243,1.8974046971935121,2.4716607155324164,1.1055715982831227
Frio-Dry Frio,2,8,0.035517252942336805,3.5749247843227328,0.22658586152915494,0.4512500902789873,1.8974046971935121,2.4716650797617454,1.1055715982831227
Frio-Dry Frio,2,9,0.035517252942336805,3.6126515493501725,0.2522662892340185,0.45246074321855123,1.8974046971935121,2.4728894097072014,1.1055715982831227
Frio-Dry Frio,2,10,0.035517252942336805,3.6126515493501725,0.2522662892340185,0.45246074321855123,1.929045269231466,2.4834055818618586,1.1219301608112064
Frio-Dry Frio,2,11,0.035517252942336805,3.7541404452182574,0.2522662892340185,0.4555669010070982,1.938605071665608,2.6255266065686977,1.1234298288870335
Frio-Dry Frio,2,12,0.03553812835739565,3.912183585149896,0.2522662892340185,0.4555669010070982,2.019346367071527,2.8232747396716213,1.1234298288870335
Frio-Dry Frio,2,13,0.03553812835739565,3.912183585149896,0.2522662892340185,0.4555669010070982,2.1157686189338176,2.84583831575012,1.1234298288870335
Frio-Dry Frio,2,14,0.03553812835739565,3.912183585149896,0.2522662892340185,0.46120665023480023,2.185104362718721,2.996326481256824,1.1234298288870335
Frio-Dry Frio,2,15,0.03553812835739565,3.912183585149896,0.2522662892340185,0.4645200727082032,2.185104362718721,2.998451938261488,1.1234298288870335
Frio-Dry Frio,2,16,0.035676516614921515,3.912183585149896,0.25589944519798397,0.4645200727082032,2.185104362718721,3.0020288671998383,1.1234298288870335
Frio-Dry Frio,2,17,0.06982321515771155,3.912183585149896,0.26532524977535865,0.4646301926115736,2.2866998175074693,3.096882551163805,1.1246693780380845
Frio-Dry Frio,2,18,0.06982321515771155,3.912183585149896,0.2653750343952418,0.4646301926115736,2.6271637836186863,3.1074582937395334,1.127170361871272
Frio-Dry Frio,2,19,0.06982321515771155,3.912183585149896,0.2653750343952418,0.4646301926115736,2.631845694909228,3.2091608712870077,1.127170361871272
Frio-Dry Frio,2,20,0.06982321515771155,4.359661412607997,0.2653750343952418,0.5882542521677948,2.6334934938413443,3.621630515093755,1.127170361871272
Frio-Dry Frio,2,21,0.06982321515771155,4.359661412607997,0.2653750343952418,0.6017189406631585,2.6334934938413443,3.621630515093755,1.127170361871272
Frio-Dry Frio,2,22,0.06982321515771155,4.359661412607997,0.2653750343952418,0.7864335593416802,2.6334934938413443,3.624452028777561,1.4180601283541436
Frio-Dry Frio,2,23,0.06982321515771155,4.359661412607997,0.2653750343952418,0.786674607234893,2.719293683819142,3.626760257429341,1.455033702656142
Frio-Dry Frio,2,24,0.06982321515771155,4.359661412607997,0.2653750343952418,0.78680952246171,2.9946217928717975,3.626812870328835,1.8902887988074415
Frio-Dry Frio,2,25,0.06982321515771155,4.359661412607997,0.2653750343952418,0.78680952246171,3.0167953467924056,3.6268195993446977,1.9551297370886969
Frio-Dry Frio,2,26,0.06982321515771155,4.359661412607997,0.32675788199440664,0.78680952246171,3.0578383512153655,3.6371088055867458,1.9551297370886969
Frio-Dry Frio,2,27,0.06982321515771155,4.376112492251485,0.41489098989456835,0.7901428169968364,3.0785498593218943,3.694744077987831,1.9551297370886969
Frio-Dry Frio,2,28,0.06982321515771155,4.376112492251485,0.41489098989456835,0.7947656048055024,3.0795580069886284,3.699590016613995,1.9551297370886969
Frio-Dry Frio,2,29,0.06982321515771155,3.125638909858385,1.153989135901479,2.280397932197155,2.9190025924666783,3.0795580069886284,2.491352808181489
Frio-Dry Frio,3,1,0.06982321515771155,4.465645316374932,0.4149084468118846,0.7969405265992021,3.0795580069886284,3.7083545581162114,1.9551297370886969
Frio-Dry Frio,3,2,0.06982321515771155,4.469597232046593,0.4149084468118846,0.7972048845400349,3.0795580069886284,3.7230320936053376,1.9551297370886969
Frio-Dry Frio,3,3,0.0893444334396549,4.469597232046593,0.4179970698095036,0.8081322208991324,3.1516125328093816,3.723090827906378,1.9551297370886969
Frio-Dry Frio,3,4,0.0893444334396549,4.469597232046593,0.4179970698095036,0.8179917182493115,3.2317447482657844,3.815244241413749,1.9551297370886969
